"_id"	"store_address"	"loc_point"
"584e6e0db5d8c6a56a7bf8fc"	"{ ""detail"" : ""钟村锦绣生态园74号"" }"	"{ ""lat"" : 22.9742071252719, ""lng"" : 113.316523406468 }"
"584f63f6b5d8c6a1217bf922"	"{ ""detail"" : ""钟村镇长江数码花园66号铺"" }"	"{ ""lat"" : 22.9786089309351, ""lng"" : 113.314436283447 }"
"584fce48b5d8c69c217bf8f6"	"{ ""detail"" : ""宠物街b12"" }"	"{ ""lat"" : 23.0245206986445, ""lng"" : 113.342099601618 }"
"5858ba08b5d8c6ef6a7bf95b"	"{ ""detail"" : ""光明北路雍雅园商业街13号"" }"	"{ ""lng"" : ""113.369400000000"", ""lat"" : ""22.959630000000"" }"
"5859fd14b5d8c6da6a7bf959"	"{ ""detail"" : ""清河路石岗东村段163"" }"	"{ ""lng"" : ""113.40330924074"", ""lat"" : ""22.945481613488"" }"
"585c96fcb5d8c6b06a7bf9bc"	"{ ""detail"" : ""迎宾路68号东海花园86号铺"" }"	"{ ""lat"" : 23.0414143795737, ""lng"" : 113.321603863109 }"
"58633663b5d8c6a8217bf9e2"	"{ ""detail"" : ""钟村镇万得.创意园11号铺"" }"	"{ ""lat"" : 22.9807216929022, ""lng"" : 113.333409394117 }"
"58648032b5d8c6f16a7bf9c0"	"{ ""detail"" : ""市广路万得创意园16号"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"586bda51b5d8c683217bfc40"	"{ ""detail"" : ""洛浦南浦碧桂园"" }"	"{ ""lat"" : 23.0363374203645, ""lng"" : 113.298003458589 }"
"587736f7b5d8c6b0697bfa27"	"{ ""detail"" : ""大学城贝岗村商业街自编3号22号之二"" }"	"{ ""lat"" : 23.0301110862161, ""lng"" : 113.05756867148 }"
"58782c12b5d8c6e06a7bfd32"	"{ ""detail"" : ""华南碧桂园"" }"	"{ ""lat"" : 23.0041106220145, ""lng"" : 113.367405657436 }"
"587cc5f0b5d8c6c218bacdff"	"{ ""detail"" : ""德贤路818号3号铺"" }"	"{ ""lng"" : ""113.36447389996"", ""lat"" : ""22.919157903374"" }"
"58953fffb5d8c6ca18bace7b"	"{ ""detail"" : ""南村镇员岗大道10号广州七号小镇创意园G105"" }"	"{ ""lat"" : 23.4040069524527, ""lng"" : 113.211808615018 }"
"58982f5ab5d8c6d218bacec1"	"{ ""detail"" : ""番禺桥南福景路880"" }"	"{ ""lat"" : 22.9244975396791, ""lng"" : 113.370639665966 }"
"589846d9b5d8c6c718bacec6"	"{ ""detail"" : ""福景路989号"" }"	"{ ""lng"" : ""113.37046060044"", ""lat"" : ""22.925063725322"" }"
"589a7d07b5d8c6ca18baceed"	"{ ""detail"" : ""番禺洛溪新城北园西路一栋16号"" }"	"{ ""lat"" : 23.0500063655683, ""lng"" : 113.302597973271 }"
"589a8ec9b5d8c6b618baced2"	"{ ""detail"" : ""洛溪新城北园上街3-11号"" }"	"{ ""lat"" : 23.0506800188958, ""lng"" : 113.307148128821 }"
"589ac29fb5d8c6b618bacedf"	"{ ""detail"" : ""丽江假日俱乐部11档"" }"	"{ ""lng"" : ""113.305230000000"", ""lat"" : ""23.041790000000"" }"
"589d324bb5d8c6c018bacee7"	"{ ""detail"" : ""丽波楼c10-2"" }"	"{ ""lat"" : 23.0415499616961, ""lng"" : 113.308918732006 }"
"589d63e0b5d8c6b918bacf0c"	"{ ""detail"" : ""大石街朝阳东路朝东一街15号"" }"	"{ ""lat"" : 23.0308770070337, ""lng"" : 113.334557168499 }"
"589d9b87b5d8c6b918bacf17"	"{ ""detail"" : ""洛溪新城彩虹花园东区18号"" }"	"{ ""lng"" : 113.305869261479, ""lat"" : 23.051810279289 }"
"58a3dbe1b5d8c6cf18bacf5a"	"{ ""detail"" : ""光明北路513号"" }"	"{ ""lat"" : 22.9643542947941, ""lng"" : 113.367867929044 }"
"58ac7912b5d8c6cb18bad00c"	"{ ""detail"" : ""南村镇观景路465号商铺"" }"	"{ ""lat"" : 23.0144646021033, ""lng"" : 113.376566655715 }"
"58ad4aeab5d8c6ba18bad00d"	"{ ""detail"" : ""广州市番禺区大石迎宾路306号"" }"	"{ ""lat"" : 23.0295188316972, ""lng"" : 113.336975891567 }"
"58ae9498b5d8c6ba18bad02a"	"{ ""detail"" : ""小谷围大学城贝岗康衢大街"" }"	"{ ""lat"" : 23.0695380445843, ""lng"" : 113.401911477369 }"
"58b6832ab5d8c6c918bad0dd"	"{ ""detail"" : ""德贤路709"" }"	"{ ""lat"" : 22.922645608672, ""lng"" : 113.363079800371 }"
"58ba7294b5d8c6c218bad13c"	"{ ""detail"" : ""番禺大道北354号"" }"	"{ ""lat"" : 23.0007806192427, ""lng"" : 113.355724291113 }"
"58c6d778b5d8c6b218bad211"	"{ ""detail"" : ""桥南"" }"	"{ ""lat"" : 22.9321326068541, ""lng"" : 113.374245554112 }"
"58cc9ecfb5d8c69d1dbad2b6"	"{ ""detail"" : ""沙头街福平路3号"" }"	"{ ""lat"" : 22.957394441876, ""lng"" : 113.34762827408 }"
"58d33937b5d8c6bd18bad3c4"	"{ ""detail"" : ""祈福新村A区20街71号1楼"" }"	"{ ""lat"" : 22.9679836274779, ""lng"" : 113.34493538323 }"
"58dcc61ab5d8c6d218bad4e5"	"{ ""detail"" : ""市广路万得创意园11号"" }"	"{ ""lng"" : ""113.333200000000"", ""lat"" : ""22.980860000000"" }"
"58e85b88b5d8c6c318bad662"	"{ ""detail"" : ""祈福新村青怡居10街7号2D"" }"	"{ ""lat"" : 22.9679836274779, ""lng"" : 113.34493538323 }"
"58e886bcb5d8c6bd18bad666"	"{ ""detail"" : ""市桥街康乐路191号"" }"	"{ ""lat"" : 22.9502644967675, ""lng"" : 113.360180874578 }"
"58e9c3c4b5d8c6b318bad6a6"	"{ ""detail"" : ""石楼镇兴亚大道亚运城媒体村北区"" }"	"{ ""lng"" : 113.480659008043, ""lat"" : 22.9505231406571 }"
"58eb2072b5d8c6b518bad67c"	"{ ""detail"" : ""竹山工业路47-3"" }"	"{ ""lat"" : 22.9582612955222, ""lng"" : 113.397286670927 }"
"58f61013b5d8c6cc18bad70d"	"{ ""detail"" : ""市桥街127号"" }"	"{ ""lat"" : 22.953404317449, ""lng"" : 113.368467704277 }"
"59156751b5d8c6807a302980"	"{ ""detail"" : ""广东省广州市番禺区市广路钟村钟三村万得创意园16号"" }"	"{ ""lat"" : 22.9807216929022, ""lng"" : 113.333409394117 }"
"591677abb5d8c6f0793029d4"	"{ ""detail"" : ""员岗7号小镇创意园G105-G108"" }"	"{ ""lng"" : 113.368300132571, ""lat"" : 23.021844490867 }"
"591a757ab5d8c6d779302a24"	"{ ""detail"" : ""7号创意小镇"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"5921513bb5d8c6d779302b06"	"{ ""detail"" : ""伊顿公馆一栋11号铺"" }"	"{ ""lat"" : 22.9744115057551, ""lng"" : 113.349354766066 }"
"592e498db5d8c6f979302cf8"	"{ ""detail"" : ""敏捷华美国际"" }"	"{ ""lat"" : 23.0121740805638, ""lng"" : 113.335486697761 }"
"592e8b57b5d8c6ea79302d01"	"{ ""detail"" : ""沙滘中路23其巷12号"" }"	"{ ""lat"" : 23.0466627072569, ""lng"" : 113.327026946945 }"
"593e8e55c87a2605925937f9"	"{ ""detail"" : ""沙头街伊顿公馆1栋13号"" }"	"{ ""lat"" : 22.9744115057551, ""lng"" : 113.349354766066 }"
